state,area,clean_fuel_pct,women_literacy_pct,men_literacy_pct,women_married_early_pct,men_married_early_pct,TFR,pregnant_women,women_fertility_rate,neonatal_mortality,IMR,u5_mortality,ANC_trimester_pct,ANC_4visits_pct,Institutional_births_pct,full_vaccination_pct,stunting_pct,wasting_pct,severe_wasting_pct,underweight_pct,overweight_pct,women_under_bmi,men_under_bmi,women_over_bmi,men_over_bmi,women_high_waist_ratio,men_high_waist_ratio,child_anaemia_pct,women_anaemia_pct,men_anaemia_pct,women_diabetes_pct,men_diabetes_pct,women_hypertension_pct,men_hypertension_pct,women_tobacco_pct,men_tobacco_pct,women_alcohol_pct,men_alcohol_pct
India,Urban,89.65,83.01,89.55,14.69,11.25,1.63,3.84,27.09,17.96,26.56,31.45,75.46,68.14,93.79,75.47,30.12,18.54,7.6,27.34,4.22,13.24,13.0,33.24,29.79,59.9,50.13,64.22,53.81,20.39,7.97,8.54,23.62,26.61,5.44,28.82,0.58,16.53
India,Rural,43.21,65.9,81.54,27.02,21.14,2.14,7.93,49.27,27.45,38.36,45.69,67.91,54.2,86.71,76.79,37.34,19.51,7.71,33.78,3.15,21.22,17.83,19.68,19.33,55.15,46.39,68.25,58.51,27.41,5.47,6.49,20.21,22.73,10.49,42.69,1.61,19.92
India,Total,58.62,71.46,84.37,23.25,17.67,1.99,6.78,42.89,24.91,35.2,41.86,70.04,58.13,88.59,76.44,35.47,19.26,7.68,32.11,3.43,18.67,16.19,24.02,22.88,56.66,47.66,67.12,57.03,25.04,6.25,7.15,21.28,23.98,8.85,37.99,1.28,18.77
Andaman & Nicobar Islands,Urban,95.63,86.55,89.27,17.43,,1.44,1.54,35.66,,,,81.15,86.03,99.19,,18.15,12.83,5.09,15.07,5.69,11.32,7.77,41.72,37.04,72.2,61.32,47.83,57.24,9.18,9.39,8.56,23.43,28.17,14.95,44.71,0.69,33.83
Andaman & Nicobar Islands,Rural,71.01,85.58,94.65,15.27,,1.17,4.01,13.19,-2.82,,,73.47,81.04,98.73,84.84,26.42,18.95,4.57,31.14,5.16,8.19,1.57,35.71,50.58,80.72,53.66,33.32,57.64,20.36,7.32,6.55,26.4,31.24,41.06,66.39,7.6,41.94
Andaman & Nicobar Islands,Total,79.77,85.97,92.53,16.21,,1.28,3.01,22.1,Null,,,77.06,83.37,98.95,77.78,22.47,15.99,4.82,23.65,5.42,9.44,3.99,38.11,45.3,77.3,56.63,40.04,57.48,16.06,8.09,7.26,25.29,30.16,31.26,58.71,5.01,39.07
Andhra Pradesh,Urban,96.57,79.01,86.4,21.69,13.07,1.47,9.34,40.05,14.35,29.75,33.67,82.68,67.16,98.64,69.29,23.14,17.55,6.36,25.12,2.95,11.91,14.96,44.37,37.74,52.72,53.76,58.73,57.77,13.79,13.24,13.68,27.54,32.16,1.91,15.76,0.33,20.45
Andhra Pradesh,Rural,77.91,63.84,76.28,32.9,15.18,1.78,14.09,80.32,22.11,30.43,35.81,81.34,67.58,95.67,74.65,34.24,15.49,5.83,31.37,2.56,16.15,17.19,32.57,27.99,47.22,52.62,65.03,59.31,17.32,9.23,10.43,24.28,27.64,4.68,25.6,0.55,24.53
Andhra Pradesh,Total,83.62,68.64,79.48,29.34,14.52,1.68,12.57,67.25,19.91,30.25,35.19,81.73,67.46,96.51,73.02,31.16,16.06,5.98,29.63,2.67,14.83,16.48,36.25,31.08,48.93,52.98,63.19,58.83,16.2,10.43,11.4,25.26,29.0,3.83,22.56,0.48,23.27
Arunachal Pradesh,Urban,90.15,84.65,92.13,16.69,17.65,1.44,3.23,27.35,12.51,16.7,22.17,57.18,47.81,90.62,66.76,28.42,10.07,4.65,13.12,9.55,5.62,6.43,28.91,32.44,66.6,47.93,52.84,36.48,21.41,3.66,4.64,25.31,33.19,14.01,44.45,14.85,44.29
Arunachal Pradesh,Rural,46.25,71.63,85.6,19.33,21.48,1.88,6.63,39.69,6.93,12.25,18.27,52.4,34.61,77.3,64.59,27.91,13.55,6.81,15.78,9.67,5.71,4.56,22.87,26.6,69.41,45.71,57.13,41.01,21.45,3.04,4.29,24.81,33.05,19.67,51.4,25.86,54.26
Arunachal Pradesh,Total,53.19,73.78,86.69,18.88,20.84,1.8,6.03,37.51,7.72,12.87,18.82,53.09,36.51,79.18,64.87,27.98,13.08,6.51,15.41,9.65,5.69,4.87,23.87,27.57,68.94,46.08,56.56,40.27,21.44,3.14,4.34,24.88,33.07,18.81,50.33,24.19,52.72
Assam,Urban,85.49,87.47,92.62,22.32,18.3,1.5,5.82,40.93,15.18,22.73,33.0,72.7,62.55,93.51,63.15,29.76,19.07,8.03,25.89,7.95,13.91,11.27,23.83,25.39,66.57,54.23,66.35,65.23,27.56,6.97,9.49,22.45,23.83,16.22,43.89,2.56,21.33
Assam,Rural,33.67,75.39,82.76,33.35,22.52,1.93,12.53,63.79,23.38,33.06,39.89,62.67,49.16,82.92,66.9,35.96,22.05,9.17,33.61,4.47,18.29,13.8,13.63,14.54,67.26,43.17,68.64,65.96,37.52,4.54,5.6,18.51,19.62,23.18,53.33,8.18,25.87
Assam,Total,42.13,77.2,84.31,31.82,21.83,1.87,11.73,60.99,22.48,31.93,39.12,63.83,50.7,84.09,66.44,35.29,21.73,9.05,32.78,4.85,17.64,13.41,15.16,16.22,67.16,44.88,68.38,65.86,35.99,4.91,6.19,19.1,20.26,22.1,51.82,7.31,25.14
Bihar,Urban,78.56,74.93,83.95,27.87,18.28,2.35,7.37,59.79,29.49,43.05,49.95,59.84,32.36,84.05,66.65,36.78,21.62,7.65,35.81,2.24,18.66,12.92,25.16,18.71,68.38,54.77,67.89,65.58,27.14,7.98,9.15,16.55,19.5,3.58,40.33,0.5,14.0
Bihar,Rural,30.25,54.54,77.01,43.36,34.26,3.11,11.64,80.02,35.2,47.31,57.42,51.87,24.03,75.02,71.6,43.85,23.08,9.0,41.79,2.43,26.88,23.76,14.16,13.6,58.78,45.92,69.69,63.14,30.05,4.93,6.53,15.8,18.11,5.25,50.68,0.42,15.82
Bihar,Total,37.79,57.78,78.5,40.8,30.47,2.98,11.03,76.95,34.46,46.76,56.44,52.94,25.15,76.2,70.96,42.94,22.89,8.83,41.03,2.41,25.56,21.53,15.93,14.66,60.33,47.74,69.43,63.52,29.45,5.41,7.0,15.92,18.36,4.98,48.79,0.43,15.49
Chandigarh,Urban,95.81,83.1,94.8,9.84,,1.41,0.76,8.8,,,,82.17,79.11,97.0,,25.2,8.3,2.37,20.18,1.87,13.06,15.06,43.91,34.44,60.42,66.9,54.97,60.25,8.08,11.96,8.79,24.97,30.57,0.57,11.95,0.27,18.5
Chandigarh,Rural,,69.23,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,Total,95.81,82.96,94.8,9.72,,1.4,0.76,8.72,,,,82.34,78.74,96.87,,25.3,8.41,2.34,20.56,1.85,13.01,15.06,44.02,34.44,60.71,66.9,54.58,60.3,8.08,11.98,8.78,25.03,30.62,0.56,12.06,0.27,18.63
Chhattisgarh,Urban,80.23,85.26,90.27,8.1,9.76,1.42,1.72,19.37,19.3,26.23,28.94,71.54,62.16,93.12,77.33,29.95,18.91,8.95,25.82,5.68,15.97,11.08,23.14,22.4,64.52,47.92,71.08,56.54,20.81,5.38,4.84,23.53,27.84,9.39,33.42,1.26,28.55
Chhattisgarh,Rural,19.22,71.3,86.33,13.2,18.25,1.94,3.41,25.15,35.58,48.7,55.79,64.07,59.57,83.9,80.4,35.75,18.87,7.19,32.71,3.56,25.33,19.35,11.25,12.66,52.55,43.22,66.16,62.15,28.87,3.28,4.24,23.59,27.66,19.63,45.98,6.05,36.69
Chhattisgarh,Total,33.0,74.62,87.26,12.04,16.17,1.82,3.06,23.9,32.37,44.24,50.4,65.66,60.12,85.72,79.74,34.6,18.88,7.54,31.33,3.98,23.08,17.41,14.11,14.94,55.42,44.32,67.24,60.82,26.99,3.76,4.38,23.58,27.7,17.27,43.11,4.95,34.83
Dadra and Nagar Haveli & Daman and Diu,Urban,95.16,87.69,95.44,26.69,,1.72,1.88,32.03,-20.32,,,71.77,77.93,96.38,90.01,32.89,22.14,5.12,33.63,1.21,20.74,19.16,34.04,27.57,46.2,45.66,75.0,60.45,17.89,7.27,8.51,16.49,17.03,2.39,39.62,0.52,29.09
Dadra and Nagar Haveli & Daman and Diu,Rural,62.56,67.9,91.56,26.16,,1.94,5.75,45.14,-22.51,,,84.0,94.84,96.65,100.0,45.66,21.08,3.49,43.52,2.45,29.0,17.45,20.31,15.95,44.68,18.4,76.84,64.36,30.34,4.8,6.88,13.61,13.85,3.32,37.53,1.61,26.54
Dadra and Nagar Haveli & Daman and Diu,Total,79.94,77.26,93.43,26.41,12.58,1.84,4.26,40.01,21.43,31.84,36.99,77.74,86.18,96.52,94.88,39.42,21.59,4.28,38.7,1.85,25.07,18.25,26.84,21.37,45.4,31.13,75.8,62.51,24.62,5.91,7.67,14.91,15.39,2.9,38.56,1.11,27.8
Goa,Urban,98.8,92.64,94.93,7.67,,1.26,2.81,16.98,,,,66.51,92.94,99.56,,24.26,17.69,6.44,22.45,2.24,13.05,9.33,38.11,32.46,51.13,34.17,53.28,40.03,13.31,9.74,10.75,27.55,25.93,2.42,19.45,5.62,38.23
Goa,Rural,93.12,93.43,98.5,3.18,,1.36,2.67,11.31,,,,76.15,93.1,100.0,,28.23,21.52,9.39,26.59,3.63,14.99,18.39,33.12,32.75,50.95,37.78,53.09,37.36,9.48,9.47,12.89,27.36,28.24,2.83,16.34,5.3,34.92
Goa,Total,96.5,92.96,96.25,5.83,,1.3,2.75,14.49,-5.63,,,70.32,93.0,99.73,81.94,25.77,19.12,7.54,24.0,2.76,13.83,12.51,36.09,32.56,51.06,35.44,53.2,38.95,12.0,9.63,11.57,27.47,26.82,2.59,18.22,5.48,36.92
Gujarat,Urban,94.33,86.83,95.4,14.16,18.72,1.65,2.64,24.33,16.81,24.09,26.7,83.71,82.43,97.79,77.02,32.35,22.36,9.74,33.28,4.6,17.24,15.95,30.44,25.63,47.21,43.29,77.58,61.26,23.3,7.61,7.3,21.14,20.31,5.39,33.64,0.31,4.58
Gujarat,Rural,46.09,69.03,87.49,26.91,33.88,2.0,6.67,40.29,24.76,35.46,44.22,76.39,73.28,92.16,75.94,42.98,26.73,11.06,43.51,3.54,30.85,24.66,17.01,15.59,41.17,38.99,81.18,67.63,29.11,6.08,6.89,20.12,20.31,10.96,46.73,0.77,6.76
Gujarat,Total,66.85,76.45,90.91,21.78,27.69,1.86,5.22,34.38,21.8,31.22,37.64,79.27,76.89,94.25,76.34,39.02,25.1,10.57,39.68,3.93,25.15,20.88,22.64,19.94,43.69,40.85,79.69,64.98,26.6,6.71,7.06,20.55,20.31,8.65,41.09,0.58,5.82
Haryana,Urban,90.54,87.42,94.46,9.91,17.55,1.65,2.97,21.32,18.95,28.6,36.0,85.03,63.05,96.1,74.3,26.09,10.76,4.32,20.49,3.27,11.4,15.02,37.46,30.23,64.55,59.46,68.07,57.39,16.0,7.01,6.85,22.94,26.21,1.66,23.29,0.34,15.73
Haryana,Rural,42.64,78.75,93.01,13.65,15.19,2.04,4.27,29.23,22.74,35.28,39.8,85.32,59.21,94.42,77.92,28.05,11.83,4.37,21.84,3.33,16.93,14.31,30.85,27.4,61.66,57.69,71.46,61.9,20.36,5.06,5.92,20.08,24.56,2.98,32.05,0.24,16.24
Haryana,Total,59.51,81.67,93.48,12.46,15.98,1.91,3.87,26.75,21.64,33.34,38.71,85.23,60.39,94.91,76.89,27.49,11.53,4.36,21.45,3.31,15.09,14.54,33.05,28.32,62.62,58.26,70.43,60.41,18.93,5.7,6.24,21.01,25.12,2.54,29.08,0.28,16.07
Himachal Pradesh,Urban,94.69,95.01,91.68,7.23,,1.43,4.48,21.38,,,,81.6,77.31,93.09,,27.04,16.16,6.31,24.64,5.38,9.75,6.55,38.31,35.74,60.27,61.24,58.17,51.02,8.63,7.13,7.71,22.1,29.12,1.22,25.37,0.3,30.4
Himachal Pradesh,Rural,44.45,91.23,95.44,5.14,4.1,1.69,3.3,21.92,21.28,27.08,30.9,71.17,69.34,87.55,88.51,31.34,17.55,6.96,25.62,5.7,14.54,12.69,29.24,29.75,62.11,50.81,54.97,53.33,20.26,6.26,6.49,22.23,23.61,1.72,33.44,0.68,32.13
Himachal Pradesh,Total,51.73,91.73,94.91,5.4,4.62,1.66,3.44,21.86,20.54,25.63,28.94,72.44,70.31,88.2,89.25,30.84,17.39,6.88,25.5,5.66,13.91,11.82,30.43,30.6,61.87,52.29,55.35,53.02,18.62,6.36,6.66,22.21,24.36,1.66,32.31,0.64,31.89
Jammu & Kashmir,Urban,95.75,84.32,91.77,2.0,9.64,1.22,0.52,4.63,7.52,14.67,15.71,89.99,83.08,98.56,82.99,30.07,17.61,9.55,19.38,10.78,3.65,2.5,33.36,40.83,89.18,65.95,70.06,61.41,28.02,3.43,2.94,21.16,20.1,1.81,31.96,0.14,7.66
Jammu & Kashmir,Rural,58.89,74.71,91.42,5.26,8.22,1.48,1.1,9.72,10.48,16.74,19.36,85.46,80.2,90.52,87.23,25.89,19.4,9.68,21.45,9.25,5.79,5.0,27.88,28.18,87.26,58.73,73.53,67.51,39.97,2.99,2.66,19.56,18.54,4.23,40.62,0.24,9.2
Jammu & Kashmir,Total,69.19,77.27,91.52,4.46,8.54,1.41,0.97,8.58,9.79,16.26,18.53,86.55,80.9,92.39,86.22,26.86,18.98,9.65,20.97,9.61,5.23,4.32,29.33,31.63,87.77,60.7,72.69,65.89,36.7,3.11,2.73,19.99,18.94,3.57,38.3,0.21,8.79
Jharkhand,Urban,70.97,82.37,94.12,19.42,10.19,1.56,5.2,33.92,17.65,22.24,27.33,76.16,48.48,89.08,67.77,26.77,22.97,10.68,29.96,2.78,17.28,12.14,21.59,21.7,66.42,53.61,65.46,61.08,27.07,5.57,7.89,20.13,25.28,4.81,37.24,1.97,24.58
Jharkhand,Rural,19.49,59.34,80.26,36.09,26.89,2.48,11.19,72.9,30.39,41.13,49.21,66.2,36.42,73.06,75.1,42.25,22.29,8.8,41.36,2.82,29.16,18.86,8.61,12.75,56.18,43.99,67.91,66.66,30.45,3.74,5.85,17.03,21.63,9.58,51.01,7.42,38.68
Jharkhand,Total,31.89,65.01,84.0,32.21,22.69,2.26,9.8,63.68,28.21,37.88,45.44,68.02,38.62,75.76,73.91,39.58,22.41,9.12,39.4,2.81,26.2,17.08,11.85,15.12,58.72,46.54,67.45,65.3,29.55,4.19,6.39,17.78,22.6,8.42,47.39,6.09,34.96
Karnataka,Urban,94.51,85.09,90.48,16.12,4.48,1.5,3.42,27.47,15.07,21.39,24.51,73.65,71.23,98.34,79.97,32.16,18.52,8.61,29.43,3.76,12.94,11.48,37.05,39.42,46.8,41.21,62.81,43.91,17.34,8.04,8.63,27.43,29.24,4.58,21.47,0.88,15.27
Karnataka,Rural,69.33,70.95,87.03,24.66,7.17,1.79,6.62,47.35,16.24,27.79,32.51,69.26,70.61,96.15,86.49,37.22,20.06,8.28,34.85,2.86,19.93,16.23,25.59,25.04,43.93,37.38,67.11,50.26,21.17,6.06,7.0,23.43,25.46,11.1,30.76,0.97,17.35
Karnataka,Total,79.73,76.69,88.47,21.25,6.12,1.67,5.4,39.56,15.81,25.4,29.51,70.95,70.85,96.96,84.08,35.43,19.52,8.4,32.94,3.18,17.15,14.31,30.14,30.85,45.07,38.93,65.52,47.76,19.63,6.83,7.61,24.97,26.88,8.53,27.06,0.94,16.52
Kerala,Urban,78.49,99.13,99.17,4.1,0.0,1.82,1.76,14.78,2.62,3.52,3.87,93.91,79.32,99.73,77.61,20.05,16.02,7.03,19.44,3.78,9.74,6.9,40.41,40.05,71.11,57.15,38.92,36.95,19.53,13.02,14.05,30.74,32.62,1.3,13.96,0.18,18.67
Kerala,Rural,66.3,97.47,97.39,8.22,2.53,1.76,3.04,20.72,4.17,5.24,6.39,93.33,77.99,99.78,78.03,26.42,15.52,4.64,19.88,4.2,10.39,12.74,36.03,33.17,70.22,56.51,39.83,35.78,16.35,13.1,13.64,31.01,32.89,2.97,19.57,0.3,20.98
Kerala,Total,72.07,98.27,98.21,6.29,1.41,1.79,2.42,17.83,3.43,4.42,5.19,93.61,78.62,99.76,77.83,23.41,15.75,5.77,19.67,4.0,10.08,10.04,38.12,36.35,70.65,56.81,39.4,36.34,17.8,13.06,13.83,30.88,32.76,2.17,16.9,0.24,19.88
Ladakh,Urban,97.15,77.65,91.87,0.0,,1.39,0.0,0.0,,,,84.53,78.18,99.08,,28.18,14.75,5.84,16.96,17.01,3.73,2.65,28.48,43.4,88.64,63.28,84.05,89.45,72.39,1.72,0.8,13.48,14.5,3.47,39.82,5.31,21.06
Ladakh,Rural,71.31,76.6,94.17,3.13,,1.29,0.0,2.35,-12.07,,,86.06,78.47,94.02,91.88,31.14,18.21,10.01,21.24,12.36,4.51,2.0,28.19,36.36,85.79,60.2,95.05,93.53,76.41,1.78,2.9,16.26,18.11,3.08,34.77,3.39,24.16
Ladakh,Total,76.26,76.8,93.73,2.46,,1.31,0.0,1.9,11.36,20.01,29.54,85.75,78.41,95.06,88.22,30.53,17.46,9.1,20.36,13.36,4.36,2.13,28.25,37.75,86.33,60.81,92.46,92.76,75.62,1.77,2.5,15.74,17.43,3.16,35.71,3.76,23.58
